FID,Join_Count,TARGET_FID,JOIN_FID,LSOA21CD,LSOA21NM,score_perc,accessibility,WDI,HSA
224,1,1,5645,E01000002,City of London 001B,0.58,0.861936442,1.412019515,1.217071077
225,1,1,5646,E01000002,City of London 001B,0.58,0.879744293,1.427784548,1.256085307
226,1,1,5647,E01000002,City of London 001B,0.57,0.83032724,1.408910823,1.169857036
227,1,1,5648,E01000002,City of London 001B,0.41,0.785668607,1.394171263,1.095356593
228,1,1,5649,E01000002,City of London 001B,0.44,0.774667071,1.405307181,1.088645198
229,1,1,5650,E01000002,City of London 001B,0.47,0.716625913,1.382090085,0.990441569
230,1,1,5651,E01000002,City of London 001B,0.51,0.754257449,1.457092964,1.099023222
231,1,1,5652,E01000002,City of London 001B,0.32,0.755657787,1.37627901,1.039995951
232,1,1,5653,E01000002,City of London 001B,0.46,0.753790993,1.488339843,1.121897167
233,1,1,5654,E01000002,City of London 001B,0.46,0.757454227,1.526757086,1.156448608
234,1,1,5655,E01000002,City of London 001B,0.37,0.717252464,1.538493713,1.103134424
235,1,1,5656,E01000002,City of London 001B,0.56,0.88908073,1.423589466,1.265685963
236,1,1,5657,E01000002,City of London 001B,0.38,0.950190068,1.441064888,1.369285544
237,1,1,5658,E01000002,City of London 001B,0.56,0.789739405,1.42269372,1.123557292
238,1,1,5659,E01000002,City of London 001B,0.38,0.881240662,1.406072658,1.2390884
239,1,1,5660,E01000002,City of London 001B,0.47,0.870324885,1.42136273,1.237047354
240,1,1,5661,E01000002,City of London 001B,0.41,0.768630523,1.378462791,1.059528576
241,1,1,5662,E01000002,City of London 001B,0.47,0.734665998,1.360813081,0.999916225
242,1,1,5663,E01000002,City of London 001B,0.53,0.706900283,1.364967112,0.964956732
243,1,1,5664,E01000002,City of London 001B,0.51,0.763693932,1.398917831,1.068345059
244,1,1,5665,E01000002,City of London 001B,0.47,0.69054705,1.380821193,0.953522001
245,1,1,5666,E01000002,City of London 001B,0.47,0.703120517,1.423139683,1.00063871
246,1,1,5667,E01000002,City of London 001B,0.49,0.686713232,1.425275782,0.978749732
247,1,1,5668,E01000002,City of London 001B,0.48,0.701001146,1.481471867,1.039680727
248,1,1,5669,E01000002,City of London 001B,0.51,0.783643364,1.440630077,1.1289402
249,1,1,5670,E01000002,City of London 001B,0.54,0.740146856,1.436941952,1.063548069
250,1,1,5671,E01000002,City of London 001B,0.47,0.698885184,1.394020145,0.974260025
251,1,1,5672,E01000002,City of London 001B,0.46,0.788210522,1.385610796,1.092153009
252,1,1,5673,E01000002,City of London 001B,0.52,0.696886737,1.513961422,1.055059636
253,1,1,5674,E01000002,City of London 001B,0.47,0.672014146,1.542514148,1.036591327
254,1,1,5680,E01000002,City of London 001B,0.43,1.529109284,1.540536964,2.354897848
255,1,1,5684,E01000002,City of London 001B,0.57,1.026203149,1.427784914,1.465197374
256,1,1,5685,E01000002,City of London 001B,0.58,1.491520886,1.448711775,2.160783871
257,1,1,5686,E01000002,City of London 001B,0.64,1.824213838,1.417038312,2.583789814
258,1,1,5688,E01000002,City of London 001B,0.53,1.175860961,1.426355175,1.677195368
259,1,1,5689,E01000002,City of London 001B,0.52,1.821524525,1.405172334,2.561166765
260,1,1,5690,E01000002,City of London 001B,0.45,1.229317305,1.434148444,1.76328
261,1,1,5691,E01000002,City of London 001B,0.35,1.411458438,1.452191912,2.049139321
262,1,1,5692,E01000002,City of London 001B,0.42,1.489511499,1.447152539,2.155550347
263,1,1,5693,E01000002,City of London 001B,0.41,1.621793484,1.51615693,2.458749726
264,1,1,5694,E01000002,City of London 001B,0.39,1.23889483,1.518298589,1.880502434
265,1,1,5695,E01000002,City of London 001B,0.39,1.44732625,1.496653046,2.166145241
266,1,1,5696,E01000002,City of London 001B,0.58,1.211218203,1.552144564,1.87998575
267,1,1,5697,E01000002,City of London 001B,0.57,1.253947912,1.563724078,1.960828542
268,1,1,5698,E01000002,City of London 001B,0.31,1.34408647,1.557346143,2.093311806
