FID,LSOA21CD,LSOA21NM,HSA,WDI,accessibility,score_perc
237,E01033709,Hackney 032B,0.784125165,1.722243154,0.453809769,0.5048
238,E01033711,Hackney 032C,1.133502944,1.722509527,0.659334157,0.51796875
239,E01033862,Lambeth 003F,1.038460763,1.626059683,0.63843259,0.513191489
240,E01033863,Lambeth 003G,1.115310248,1.611080126,0.6881492,0.528349515
241,E01033864,Lambeth 004H,0.746922871,1.70848163,0.439041847,0.464181818
242,E01033865,Lambeth 004I,0.875890736,1.725119546,0.511654411,0.498125
243,E01033866,Lambeth 004J,0.556098536,1.75425961,0.316468956,0.46375
244,E01033867,Southwark 002F,1.896429839,1.779636512,1.054798852,0.501623932
245,E01033868,Southwark 002G,0.968901686,1.65179154,0.576239529,0.465326087
246,E01033870,Southwark 004G,0.33275085,1.277081995,0.260763756,0.522
247,E01033872,Southwark 004I,0.439530879,1.234722661,0.357152249,0.537058824
248,E01033873,Southwark 009G,0.700192647,1.515125712,0.470334283,0.508985507
249,E01033874,Southwark 009H,0.660287718,1.48062297,0.446182935,0.5372
250,E01033875,Southwark 012G,0.650905132,1.378601643,0.473441745,0.508192771
251,E01033876,Southwark 012H,0.586941009,1.380882129,0.425343185,0.540625
252,E01033877,Southwark 012I,0.539830574,1.349725348,0.401886702,0.500357143
253,E01033884,Southwark 035A,1.185792661,1.656204733,0.713761936,0.489170984
254,E01033885,Southwark 036A,0.918890984,1.571037904,0.574240525,0.526593407
255,E01035496,Wandsworth 038A,0.303149537,1.678101142,0.178045343,0.48
256,E01035497,Wandsworth 038B,0.406391586,1.709152511,0.235839044,0.49375
257,E01035498,Wandsworth 038E,0.198799732,1.416905742,0.138265675,0.421384615
258,E01035649,Hackney 026H,0.825382557,1.778921251,0.46265864,0.48
259,E01035655,Islington 020F,1.63678461,1.760822145,0.928460518,0.527951807
260,E01035656,Islington 020G,1.104819951,1.740956422,0.63550841,0.488709677
261,E01035669,Tower Hamlets 009F,5.782016035,1.609537011,3.571703108,0.466363636
262,E01035686,Tower Hamlets 021G,2.534692225,1.408772512,1.810502883,0.479583333
263,E01035687,Tower Hamlets 021H,3.065207342,1.434937779,2.140367365,0.494133333
264,E01035688,Tower Hamlets 021I,2.368531177,1.466660318,1.617677654,0.505
265,E01035689,Tower Hamlets 021J,2.075849841,1.489249549,1.397959079,0.495084746
266,E01035696,Tower Hamlets 026E,1.24742438,1.696324066,0.763895642,0.490533333
267,E01035697,Tower Hamlets 026F,1.016249075,1.734059292,0.597229483,0.5021875
268,E01035708,Camden 022F,1.72059266,1.753110546,0.986031849,0.4746875
269,E01035709,Camden 022G,0.7997626,1.663453708,0.482106062,0.526306306
270,E01035710,Camden 023F,1.255849979,1.59504458,0.792454646,0.498707865
271,E01035711,Camden 026E,2.603972277,1.458844604,1.81285983,0.529112903
272,E01035712,Camden 029E,1.132159134,1.572718044,0.719603298,0.527959184
273,E01035716,Westminster 013G,6.259203232,1.219989363,5.020031511,0.482970085
274,E01035718,Westminster 019G,0.312307149,1.092332664,0.285792628,0.550621891
275,E01035719,Westminster 021F,0.612981666,1.486591888,0.414255705,0.530224719
276,E01035720,Westminster 021G,0.791868068,1.400011613,0.569094998,0.517833333
277,E01035721,Westminster 023H,1.035717227,1.200611227,0.868597981,0.498962963
278,E01035722,Westminster 024G,0.719224625,1.46848606,0.489789084,0.547777778
